step,epoch,total_loss,ce_loss,sim_loss,cosine_similarity
0,0.000,3.485452,2.490320,0.995132,0.004868
0,0.000,2.653903,1.662829,0.991074,0.008926
0,0.000,2.849823,1.839899,1.009924,-0.009924
0,0.000,4.535620,3.603130,0.932490,0.067510
0,0.000,3.187742,2.205537,0.982205,0.017795
0,0.000,4.097218,3.078584,1.018633,-0.018633
0,0.000,4.613904,3.626257,0.987647,0.012353
0,0.000,3.165593,2.187596,0.977997,0.022003
1,0.010,3.621994,2.618157,1.003838,-0.003838
1,0.010,2.733678,1.740791,0.992887,0.007113
1,0.010,3.376602,2.380721,0.995881,0.004119
1,0.010,3.217899,2.222223,0.995677,0.004323
1,0.010,3.220503,2.237906,0.982598,0.017402
